Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
Buffalo Bill Burger,"grains, protein",1 burger,0,"August 28, 2021 1:31 AM (CDT)",Hopdoddy (TON),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/burger-d6114330dbbc411dac9a23e53d23a1b6,33,3,2,10,1730,53,,,,,0.4,1.41,,,,43,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
TastyBite Indian Punjab Eggplant,,2/3 cup (2 servings a pouch),0,"August 28, 2021 3:34 PM (CDT)","CVS, Munchie (Vanderbilt Campus Dining)","Eggplant, Onions, Bottle Gourd (Squash), Concentrated Crushed Tomatoes, Sunflower Oil, Garlic, Salt, Cumin, Chili Pepper Powder, Ginger, Yeast Extract, Coriander, Natural Coriander Flavor, Turmeric.","eggplant, onion, squash, and tomatoes seem to be main veggies. I could add to this

- broccoli
- carrots","TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","October 10, 2022 10:56 PM",
Annie's homegrown rice pasta & cheddar,grains,1 cup,0,"September 22, 2021 6:19 AM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Poor FS Ratio (<0.8), Poor PS Ratio (<0.8)",https://www.notion.so/Macaroni-and-cheese-573c57f42a5346179c2e9efb1b57baac,4,3,0.5,2,390,5,,,Annie's,,0.5,0.59,,,,40,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Artisana organics raw tahini,,2 tbsp - 32g (12 servings per jar),0,"September 3, 2021 6:19 AM (CDT)",Thrive Market,,,"Staple, Stellar PS Ratio (+3), Thrive Values: Non-GMO, Thrive Values: Organic, low sodium protein",https://www.notion.so/Tahini-dc90ba853c3146acb47f8fea9d055994,19,3,2,0,10,7,,,,,N/A,32.2,,,,5,,,0,0,,,,,"$7.59 ($9.99 retail) per jar → 
$0.633 ($0.833 retail) per serving → $0.079 ($0.104 retail) per gram of protein",,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Santa Cruz organic creamy peanut butter dark roasted,"protein, vegetables",2 tbsp - 32g (14 servings per jar),0,"July 26, 2022 7:36 AM (CDT)",Thrive Market,,PDCAAS - 0.70,"Accomodation Food, Food allergen, PDCAAS score, Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3), Thrive Values: Non-GMO, Thrive Values: Organic, great price per gram of protein, low sodium protein, nut butter and seed butter, update potassium  from peanut butter",https://www.notion.so/peanut-butter-06d20417345746ffa81db633981fe78c,16,2,3,1,55,8,8,2,Santa Cruz,,6,6.69,,"https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5, https://www.notion.so/Korma-Kale-PB-Pasta-Lunch-Dinner-129981856c844db692e3861008313cb7",,5,0,jars,0,0,,,,"https://www.notion.so/peanuts-PB-used-as-placeholder-because-same-specs-6d49367a117f4b89a1afb39ecea1e4fd, https://www.notion.so/1-2-servings-peanut-butter-39475568a22944e1b395bb2c40d723c8, https://www.notion.so/peanut-butter-c7b9c9435ac34625b2a80bb85c018f42, https://www.notion.so/1-serving-PB-04c6c70daa1f437c8de6a4d0a8755db7, https://www.notion.so/2-serving-Pb-bd082fc30d034ac4b64b2cee0c615917, https://www.notion.so/4-serving-PB-f097d9a5d9d94637bd347ecffe988c82, https://www.notion.so/2-serving-PB-884fe8283e3541ff846c73f61d360e46","$5.99 per jar →
$0.428 per serving → $0.053 per gram of protein",,,Pantry,,,,,30,,,,,"August 26, 2021 5:50 PM","December 16, 2022 10:09 PM",4.79
Kind Dark chocolate almond mint,,1 bar,0,"September 5, 2021 7:15 AM (CDT)",CVS,,,"do not eat, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,,,,,,,,,Kind,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","October 27, 2022 10:40 PM",
"Fresh, Seasoned Potatoes",vegetables,,0,"September 4, 2021 11:51 AM (CDT)",Sun & Fork (owned by FirstWatch) (TON),,,"Tastes Of Nashville (TON), restaurant",,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
"Mamma Chia - Chia Squeeze, Mango Coconut",,pouch,0,"September 3, 2021 6:27 AM (CDT)",Thrive Market,,,"Mediocre FS Ratio (0.8 <= x < 1), Stellar PS Ratio (+3), snacks",https://www.notion.so/Fruit-squeeze-pouch-583bea7614c948f8b7239bf8c9441584,3,0.5,3,7,0,2,,,,,0.86,N/A,,,,10,0,boxess (8 pouches per box),0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","May 18, 2022 12:31 AM",
"Cereal, Dark Chocolate Almond",,,0,"September 5, 2021 6:46 PM (CDT)",Thrive Market,,,breakfast,https://www.notion.so/Cereal-22ea5aa993c54014942bbe8dce25cc47,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Fries from Delicas Colombiana,,oz,0,"October 17, 2021 10:01 PM (CDT)",Delicias Colombiana RR,,,closed container - plus,,,,,,,,,,,,N/A,N/A,,,,,1,oz,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Kind Breakfast Protein Bars Almond Butter,,Packet of 2 bars,0,"June 7, 2022 4:04 PM (CDT)",CVS,"oats, tapioca syrup, canola oil, soy protein isolate, cane sugar, raisin paste, almond butter (almonds), hone, almonds, millet, buckwheat, amaranth, natural flavor, quinoa, seal salt, cinnamon, VItamin E (tocopherols to maintain freshness)",,"Poor FS Ratio (<0.8), Stellar PS Ratio (+3), do not eat, low sodium protein, snacks",https://www.notion.so/Breakfast-bars-c90c48680d9040a4b77b3380d387f4a4,9,1,3,9,110,8,10,2,Kind,,0.67,3.35,,,,28,,,0,0,,,,https://www.notion.so/kind-breakfast-protein-bar-ee5a041a374143fd817fc8d562e53049,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","October 27, 2022 10:40 PM",
Kind breakfast peanut butter bars,,Packet of 2 bars,0,"February 9, 2022 12:29 AM (CST)",CVS,,,"Good PS Ratio (1.5 <= x < 3), Poor FS Ratio (<0.8)",https://www.notion.so/Breakfast-bars-c90c48680d9040a4b77b3380d387f4a4,10,1.5,3,9,135,5,,,Kind,,0.67,1.7,,,,29,0,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Nordic Naturals Vitamin C gummies,,2 gummies (30 servings per conotainer),0,"September 16, 2022 5:56 PM (CDT)",Thrive Market,,,"Staple, Vitamin & Minerals: Vitamin C",https://www.notion.so/Vitamin-Gummies-7cb3455ee6014a2688e6f2e10ec4598a,,,0,4,,,,,,,0,N/A,,,,5,0,bottle,278,0,,,4,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","September 16, 2022 6:56 PM",
Gold Emblem jugs of water,,FL oz.,0,"October 30, 2021 10:06 PM (CDT)",CVS,,,"Drinks (beverages), Staple",https://www.notion.so/Bottled-Water-drink-07e4ec0616a6411ebdb24a445f65366c,,,,,,,,,,,N/A,N/A,,,,,0,Jugs,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
"Aloha Protein Bar, Vanilla Almond Crunch",protein,,0,"September 15, 2021 6:10 PM (CDT)",Thrive Market,"Organic Almonds, Organic Protein Blend (Brown Rice Protein, Pumpkin Seed Protein), Organic Tapioca Syrup, Organic Roasted Pumpkin Seeds, Organic Vegetable Glycerin, Brown Rice Crisps (Brown Rice, Brown Rice Syrup, Salt), Organic Sunflower Butter, Organic Natural Flavors, Organic Monk Fruit, Sea Salt",,meal bar,https://www.notion.so/protein-bars-ba3bd4c9d55447fab3524482dce80de6,,,,,,,,,Aloha,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Thrive Market Organic Applesauce cup,fruits,cup,0,"June 3, 2022 2:45 AM (CDT)",Thrive Market,,,"Staple, snacks",https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,0,0,2,12,20,0,0,0,Thrive Market,,0.33,N/A,,,,18,1,4-cup packs,0,0,,,,https://www.notion.so/1-apple-using-2-serving-applesauce-to-placeholder-for-1-apple-114a8bae327d48a48437252bb7c26966,,$0.71,,,,,,,,,,,,"August 26, 2021 5:50 PM","June 8, 2022 6:38 AM",
"[Cooking] Woodstock frozen bananas ",fruits,banana - equivalents,0,"December 19, 2022 2:06 AM (CST)",Munchie (Vanderbilt Campus Dining),,(edited there are only 1.5 servings per bag when weighed),"Fiber: soluble fiber, Staple, Strength: Potassium, in Tolman fridge, organic","https://www.notion.so/Bananas-frozen-or-fridge-804c905c26574933b408f9d0fd6dbe42, https://www.notion.so/Bananas-67b1222c3bde4db98f1d6d5d078b1d81",0,0,4,18,0,2,4,0.625,,,0.44,N/A,,https://www.notion.so/Breakfast-oatmeal-v1-79606138f75540fb9da8c5094b0641ee,,33,1,bags (each has 1.5 banana equivalents),8,0,8,,,"https://www.notion.so/58923425ffc6487aa06001f220cc68b0, https://www.notion.so/232-became-212g-banana-95ecec0ac2924d459776b4dd0622ff93",,,,freezer,,,,,,,,,,"August 26, 2021 5:50 PM","December 19, 2022 5:16 AM",11.06
[nutrition in page - fill in info here] Banza Pasta,,,,,Thrive Market,,,Thrive Values: Made in USA,,,,,,,,,,,,N/A,N/A,,,,,2,boxes,,,,,,,,,,,,,,,,,,,,"December 19, 2022 3:13 AM","December 19, 2022 4:32 AM",
filler,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"December 13, 2022 10:28 PM","December 13, 2022 10:29 PM",
Ice,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"December 13, 2022 6:37 PM","December 13, 2022 6:37 PM",0
"26+11.60 bucks in plates+bowls, 22 bucks in vitamins, 10 in cinnamon and misc",,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"December 13, 2022 2:49 AM","December 13, 2022 2:49 AM",
,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"December 13, 2022 2:42 AM","December 13, 2022 2:42 AM",
Skinny pop popcorn white cheddar,grains,,,,Munchie (Vanderbilt Campus Dining),,,"Friends like, Friends like: Akan likes",,9,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,Pantry,,,,,,,,,,"December 12, 2022 1:09 AM","December 21, 2022 2:15 PM",
Organic Super Seed Crackers - Everything - mary’s gone crackerss,,,,"December 13, 2022",,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"December 11, 2022 6:22 PM","December 13, 2022 4:42 PM",
cuties clementines (fill food data),fruits,,,,,,,shelf life: at least 2 days peeled in fridge,,,,1,7,,0.5,0,2,,,0.29,N/A,,,,9,,,60,0,0,,0,https://www.notion.so/3-cuties-clementines-7dd390c147064e9f905cbd6dcbb35dd7,,,,,,,,,,,,,,"December 7, 2022 1:26 AM","December 14, 2022 6:28 PM",
"100% Pure Vermont Maple Syrup - Grade A Dark Color (8 oz) (assume the same weight as honey per tbsp) ",,2 tbsp serving (42g),,"December 3, 2022 10:44 PM (CST)",GoPuff,,1 tbsp is 21g like honey. so a 2tbsp serving is 42g,,,0,0,0,24,0,0,,2,,,0,N/A,,,,27,,,,,,,24,https://www.notion.so/42g-maple-syrup-fff7a3f87cd44e5bbc498c813b8872b1,,,,Fridge,,,,,,,,,,"December 3, 2022 11:34 PM","December 4, 2022 12:00 AM",2
brami italian snacking lupini beans,"protein, vegetables",,,"December 3, 2022 12:26 AM (CST)",Thrive Market,"lupini beans, water, vinegar, sea salt, lactic acid (from vegetable fermentation)",,"Poor PS Ratio (<0.8), Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: gluten-free, Thrive values: vegan, easy to digest, not bad, prebiotic",,1,0,3,0,240,4,1,1,,,N/A,0.77,,,,3,,,,0,,,0,https://www.notion.so/1-serving-lupini-beans-f201ef48e6a54b53933866b67df99f1a,,,,pantry (pre-open) - fridge (once opened),,,,,,,,,5,"December 3, 2022 1:25 AM","December 3, 2022 1:32 AM",0
(update nutrition)  Inka chips plantain sea salt,,,,"December 2, 2022 11:20 PM (CST)",Thrive Market,,,"Poor PS Ratio (<0.8), Stellar FS Ratio (+3), Thrive Values: Kosher, Thrive Values: Low Sodium, Thrive Values: Non-GMO, Thrive Values: gluten-free, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, Thrives Values: BIPOC founded, Thrives Values: Low Sugar, high oleic sunflower oil, low sodium",,6,2.5,1,0,60,0.5,0,0,InkaCrops,,N/A,0.38,,,,20,,,15,,2.375,,0,"https://www.notion.so/46g-inka-plantain-chips-37ea9b8aea284e0baaf70b769079720c, https://www.notion.so/2-serving-inka-plantain-chips-eba5ef9bc2aa4ff2ad71ec8240e37e14",,,,,,,,,,,,,,"December 3, 2022 12:19 AM","December 18, 2022 12:09 AM",
Spicy Calloloo Collard Greens,,5 oz portion (125g),,"December 2, 2022 9:26 PM (CST)",Dining Hall (Vanderbilt Campus Dining),"Ingredients:Collard Greens, Yellow Onion Strips, Tomato Diced In Juice(VINE-RIPENED TOMATOES, TOMATO JUICE, LESS THAN 2% OF: SALT, CALCIUM CHLORIDE, CITRIC ACID*. *NATURALLY DERIVED), Carrot, Oil Olive Canola EVO(CANOLA OIL AND EXTRA VIRGIN OLIVE OIL.), Jalapeno Pepper, Garlic, Liquid Smoke Hickory Flavor(WATER 74%, NATURAL HICKORY SMOKE CONCENTRATE 26%), Ground Allspice, Paprika(PAPRIKA, AND SILICON DIOXIDE (TO MAKE FREE FLOWING)), Kosher Salt(SALT), Fresh Thyme, Coarse Ground Black Pepper, Cayenne Pepper",Good option from EBI on Friday nights,"Poor PS Ratio (<0.8), Stellar FS Ratio (+3), has spices, medium sodium",,4,0,4,2,160,2,,,,,4,0.58,,,,9,,,,,,,0,https://www.notion.so/115g-collard-greens-EBI-91d116b927754300b29375d01269effd,,,,,,,,,,,,,,"December 2, 2022 10:26 PM","December 3, 2022 1:48 AM",
,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"November 2, 2022 2:07 AM","November 2, 2022 2:07 AM",
DJ&A Veggie crisps,,,,"October 24, 2022 5:11 PM (CDT)",CVS,"vegeabels (yellow swett potato, green radish, beetroot, shiitake mushroom, broccoli, green bean) vegtables oils (palm and sunflower) ,  Maltose, Seasoning (Maltodeztrin, Salt, Yeast extrcct, spices, vegetable powders, Netrual flavor, sunflower oil, turmeric.)",,"Hot water cook-able, Mediocre FS Ratio (0.8 <= x < 1), Poor PS Ratio (<0.8), snacks, tastes weird, tastes weird - sugar added to savory food, too much sugar",https://www.notion.so/Veggie-chip-dehydrated-snack-c746fc1c4e384d229b53fc62845a50df,6,2.5,4,9,170,2,,,DJ&A,,0.89,0.54,,,,20,,,,,,,3,"https://www.notion.so/1-serving-D-A-new-veggie-snack-628640635d2f4259aea1cfb407c88c75, https://www.notion.so/0-5-serving-D-A-new-veggie-snack-f9bca47f00304239a08b99f0af2c05b3, https://www.notion.so/1-serving-DJ-A-chips-9b7c3b1f4b984a98baae35bd8d137f5b",,,,,,,,,,,,,,"October 24, 2022 6:10 PM","December 3, 2022 9:49 PM",
Vegan Bratwurst w/ Peppers & Onions,"protein, vegetables",(1 brat w/ pepper - 114g),,"October 23, 2022 10:45 AM (CDT)",,,,,,15,6,4,0.5,600,20,25,10,,,16,1.53,,,,8,,,15,,,,,,,,,,,,,,,,,,,"October 23, 2022 11:44 AM","October 23, 2022 11:47 AM",1
Dining Hall Garbanzo beans (chickpeas),protein," 1 oz. portion (28g)",,"October 13, 2022 10:41 AM (CDT)",2301 (Vanderbilt Campus Dining),"Ingredients:Garbanzo Bean(PREPARED GARBANZO BEANS, WATER, SALT, DISODIUM EDTA FOR COLOR RETENTION)",,Ingredient in 2301 bowl,https://www.notion.so/Chickpeas-garbanzo-beans-1d810036c36c49179100154ea020df54,0,0,1,0,30,1,2,,,,N/A,1.53,,,,4,," 1 oz. portion (28g)",,,,,0,,,,,,,,,,,,,,,"October 13, 2022 11:39 AM","October 13, 2022 11:46 AM",0.745
Pasta from EBI sat week 40,,,,"October 11, 2022 4:40 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,has gluten - bad,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"October 11, 2022 5:39 AM","October 11, 2022 5:40 AM",
Roasted Asparagus w/ Balsamic Glazed,vegetables,(3 oz portion - 90g),,"October 23, 2022 10:37 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,,https://www.notion.so/asparagus-8c0a788cecbf4233bc659d70e3d53030,2.5,0,2,2,280,2,4,2,,,2,0.33,,,,5,,,8,,,,,https://www.notion.so/1-serving-green-beans-3cf839ad5b09409b877f1393b7548976,,,,Fridge,,,,,,,,,,"October 11, 2022 3:09 AM","October 23, 2022 11:42 AM",4
Quinoa taco filling,,4 oz (120g) portion,,"October 11, 2022 2:04 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Ingredients:Tri Color Quinoa, Mild Salsa(TOMATO PUREE (WATER, TOMATO PASTE), TOMATOES (TOMATOES, TOMATO JUICE), JALAPENO PEPPERS, ONION, DEHYDRATED ONION, CONTAINS LESS THAN 2% OF DISTILLED VINEGAR, SALT, DEHYDRATED GARLIC, NATURAL FLAVOR. : CRUSHED TOMATOES (WATER, CRUSHED TOMATO CONCENTRATE), WATER, JALAPENO PEPPERS, ONIONS, DISTILLED VINEGAR, DEHYDRATED ONIONS, SALT, GARLIC, NATURAL FLAVORING), Oil Olive Canola EVO(CANOLA OIL AND EXTRA VIRGIN OLIVE OIL.), Chili Powder(CHILI PEPPER, SPICES, SALT, GARLIC, AND SILICON DIOXIDE (TO MAKE FREE FLOWING).), Nutritional Yeast(INACTIVE DRY YEAST, NIACIN (B3), PYRIDOXINE HCI (B6), RIBOFLAVIN (B2), THIAMIN HCI (B1), FOLIC ACID, AND VITAMIN B12.), Ground Cumin(CUMIN), Kosher Salt(SALT), Garlic Powder, Ground Black Pepper(BLACK PEPPER), Water",,"Commons Dining Hall, Commons: Taqueria",,4.5,,3,,280,4,,,,,N/A,0.66,,,,21,,,,,,,,https://www.notion.so/0efc4c49b9a14d818a1cbd290d35d02b,,,,,,,,,,,,,,"October 11, 2022 3:04 AM","October 11, 2022 3:30 AM",
"MorningStar Farms Veggie Burgers, Spicy Black Bean, 9.5 Oz, Bag, Frozen","protein, vegetables",,,"October 10, 2022 4:28 PM (CDT)",Walmart,,,has gluten - bad,,4.5,0.5,4,2,220,9,,,MorningStar,,4,1.88,,,,15,,,,,,,0.9,"https://www.notion.so/0fc70a36038743539b1de6f89148f059, https://www.notion.so/1-bean-burger-patty-059503dcf130440b86fd07891b05badd",,$4.18 $7.09/lb,,,,,,,,,,,,"October 10, 2022 5:24 PM","October 10, 2022 5:28 PM",
Kroger Unsweetened Applesauce,fruits,1/2 cup (123 g) serving,,"October 9, 2022 4:31 PM (CDT)",Kroger,,,"Poor PS Ratio (<0.8), Staple, snacks",https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,0,0,2,12,0,0,0,0,Kroger,,0.33,N/A,,,,15,,container (jar) - 11 servings,,0,,,0,"https://www.notion.so/1-serving-pumpkin-seeds-watered-down-f11f6737c1b04083bc70cb3874f6a076, https://www.notion.so/2-serving-applesauce-23d6d8a5a090437eb4b120cd44410fb4, https://www.notion.so/1-serving-applesauce-b6b58c9f996049a6adb0165e4f5e4a41, https://www.notion.so/1-serving-applesauce-99da57dd4b3c460cbf7e41105d91f73a, https://www.notion.so/1-serving-spiced-applesauce-696277da9f1e4e34910d5f9f15d871d4, https://www.notion.so/1-serving-spiced-applesauce-2897b0bc510d4554944e43eeaf2e6907",,,"vitamin D - 0mcg (0%)
calcium - 10 mg (0%)
iron - 0mg (0%)
potassium - 100mg (2%)",,,,,,,,,,,"October 9, 2022 5:31 PM","October 9, 2022 5:46 PM",2
,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"October 8, 2022 10:30 PM","October 8, 2022 10:30 PM",
Dining Hall Shrimp and Garlic Saute,protein,5 oz (158g) serving,,"October 8, 2022 9:02 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Ingredients: Shrimp 41-50(SHRIMP, SALT, SODIUM CARBONATE, SODIUM CITRATE), Diced Yellow Onion, Garlic - Minced (AP), Lemon Juice, Oil Olive Canola EVO(CANOLA OIL AND EXTRA VIRGIN OLIVE OIL.), Fresh Parsley, Kosher Salt(SALT), Ground Black Pepper(BLACK PEPPER) Contains: Shellfish",,"Ok FS Ratio (1 <= x < 1.5), Stellar PS Ratio (+3)",,6,0,0.5,1,220,38,6,25,,,1,7.95,,,,6,,,15,0,,,0,"https://www.notion.so/166g-40g-approx-grilled-shrimp-451dfdf707a8464598f2a7df970a999c, https://www.notion.so/c5d386cf2dfb438a9fa8818568386b21, https://www.notion.so/430a11a2becf40d282262a106a088829",,,,Fridge,,,,,,,,,,"October 8, 2022 10:00 PM","October 8, 2022 10:29 PM",2
"Dining Hall Asparagus, Mushrooms & Peas w/ Pasta ","grains, protein, vegetables",,,"October 8, 2022 8:56 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Ingredients: Asparagus, Shiitake Cap Mushrooms, Farfalle Pasta (SEMOLINA (WHEAT), DURUM WHEAT FLOUR, VITAMIN B3 (NIACIN), IRON (FERROUS SULFATE), VITAMIN B1 (THIAMINE MONONITRATE), VITAMIN B2 (RIBOFLAVIN), FOLIC ACID. may contain eggs), Green Peas(GREEN PEAS), Snap Peas, Snow Peas, Oil Olive Canola EVO(CANOLA OIL AND EXTRA VIRGIN OLIVE OIL.), Peeled Shallot, Green Onion, Fresh Oregano, Kosher Salt(SALT), Ground Black Pepper(BLACK PEPPER), Water Contains: Gluten",,"Good FS Ratio (1.5 <= x < 3), Poor PS Ratio (<0.8), has gluten - bad",,2.5,0,2,2,200,3,6,2,,,2,0.69,,,,8,,,10,0,,,0,,,,,Fridge,,,,,,,,,,"October 8, 2022 9:55 PM","October 8, 2022 10:17 PM",4
Dining Hall Beets Herb Roasted,,a 3 oz (95g) serving,,"October 8, 2022 8:50 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,"Poor FS Ratio (<0.8), Poor PS Ratio (<0.8), has spices",,8,0.5,2,7,350,1,4,2,,,0.57,0.13,,,,9,,,4,,,,0,https://www.notion.so/1-serving-beets-95g-41a8cb88ca53469fbc3bab5781335c8d,,,,,,,,,,,,,,"October 8, 2022 9:38 PM","October 8, 2022 10:00 PM",6
,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"October 7, 2022 12:54 PM","October 7, 2022 12:54 PM",
Southwest Pulled Chicken (do not get),,4 oz portion (110g),,"October 11, 2022 2:01 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Ingredients:Chicken Pulled Smoked FC FZ GF, Lime Juice, 
Taco Seasoning(SPICES (INCLUDING PAPRIKA, CHILI PEPPER), ONION, SALT, 
GARLIC, POTATO FLOUR, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, IRON, 
THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), COCOA POWDER PROCESSED 
WITH ALKALI, CORN SYRUP SOLIDS, AND NATURAL FLAVOR), watercontains gluten",all of the nutrition is red so it is innacurate. But the ingredients have corn syrup solids and gluten,"Commons Dining Hall, Commons: Taqueria",,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"October 6, 2022 11:32 AM","October 11, 2022 3:30 AM",
"Garlic powder ",,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,3.4 oz (96 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:08 AM","August 30, 2022 5:09 AM",
"Minced Onion ",,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,2.35 oz (67 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:08 AM","August 30, 2022 5:08 AM",
"Carribean Jerk powder ",,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,2.7 oz (76.5 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:06 AM","August 30, 2022 5:08 AM",
"Curry powder ",,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,1.8 oz (51 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:06 AM","August 30, 2022 5:06 AM",
"Italian seasoning ",,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,0.75 oz (21 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:05 AM","August 30, 2022 5:05 AM",
Ground Cumin,,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,2 oz shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:04 AM","August 30, 2022 5:05 AM",
Crushed red bell peppers,,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,1.75 oz shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:04 AM","August 30, 2022 5:04 AM",
Oregano,,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,1,0.75 oz (21 g) shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:03 AM","August 30, 2022 5:05 AM",
Cinnamon Ceylon,,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,0,1.4 oz shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:03 AM","August 30, 2022 5:03 AM",
Cinnamon saigon,,,,"August 30, 2022",,,,Spice,,,,,,,,,,,,N/A,N/A,,,,,3,1.4 oz shakers,,,,,,,,,,,,,,,,,,,,"August 30, 2022 5:01 AM","August 30, 2022 5:03 AM",
